client_name,location,
"6740 Homes, Inc.",67-40 Booth ST - Rear,
"6740 Homes, Inc. ",67-40 Booth ST - Front,
Atlantic Residence ,Atlantic Residence | 1870 Eastern PKWY,
Atlantic Residence,Atlantic Residence | 26 Sherlock PL,
Atlantic Residence ,Atlantic Residence | 34 Sherlock PL,
Barhite & Holzinger ,Barhite & Holzinger | 1 Alden PL,
Barhite & Holzinger,Barhite & Holzinger | 3 Alden PL,
BENNETT ,BENNETT | 86-88 Prospect Park West,
BLUE WOODS ,BLUE WOODS | 304 W 88th ST,
Celaj ,2179 Matthews AVE,
Cirella ,150 West 95th ST,
COHEN ,COHEN | 110 New York AVE,
Colony Manor ,Colony Manor | 130 72nd ST,
Colony Manor ,Colony Manor | 152 72nd ST,
COVINGTON ,COVINGTON | 375 Manhattan AVE,
D'Aurizo ,245 E 25th ST,
DeAlto ,2082 Frederick Douglas Blvd,
Degaetano ,133 Beach 120th ST,
EMPIRE ,EMPIRE | 115 E 72nd ST,
FINCH ,FINCH | 52 e 78th ST,
FINCH ,FINCH | 61 E 77th ST,
FOLEY ,FOLEY | 305 East 72nd N,
FOLEY ,FOLEY | 305 East 72nd S,
FORDHAM ,FORDHAM | 111 W 106th ST,
Glen Oaks #1 ,Glen Oaks #1 | 247-74 77th Crescent,
Glen Oaks #2,Glen Oaks #2 | 74-12 255th ST,
Glen Oaks #3 ,Glen Oaks #3 | 73-68 260th ST,
Glen Oaks #4 ,Glen Oaks #4 | 260 - 44 Langston,
Gramont ,Gramont | 207 W 98th ST,
Gramont ,Gramont | 215 w 98th ST,
GRONER ,GRONER | 761-767 Prospect PL,
HDFC,CLIENT -- 535 West 156th ST,
HELM ,HELM | 172 East 7th ST,
Hye Rise ,Hye Rise | 316 Himrod ST,
ILIA ,ILIA | 39-50 60th ST,
ILIA ,ILIA | 41-41 51st ST,
ILIA ,ILIA | 5929 Queen BLVD,
Impagliazzo ,142 Beach 96th ST,
JTS ,JTS -- 3080 Broadway,
JTS ,JTS 3080 Broadway new room,JTS 3080 Broadway new room
JTS ,JTS -- 537 W 121st ST,
KANO REI ,KANO REI | 357 West 37th Street,
KINSEY,KINSEY | 229 West 109th ST,
MANCHESTER ,MANCHESTER | 140-18 Ash AVE,
Nostrand Gardens ,Nostrand Gardens | 2425 Haring ST,
Nostrand Gardens,Nostrand Gardens | 2430 Haring ST,
Nostrand Gardens ,Nostrand Gardens | 2435 Haring ST,
Nostrand Gardens ,Nostrand Gardens | 2450 Haring ST,
Nostrand Gardens ,Nostrand Gardens | 2455 Haring ST,
Nostrand Gardens,Nostrand Gardens | 2465 Haring ST,
ORSID ,ORSID | 10 Mitchell PL,
Paley & Taube ,Paley & Taube | 100 Sullivan ST,
Paley & Taube ,Paley & Taube | 110 Sullivan ST,
Paley & Taube ,Paley & Taube | 200 West 18th ST,
Paley & Taube ,Paley & Taube | 208 East 88th ST,
Paley & Taube ,Paley & Taube | 244 East 60th ST,
Paley & Taube ,Paley & Taube | 320 East 85th ST,
Paley & Taube ,Paley & Taube | 321 East 79th ST,
Paley & Taube ,Paley & Taube | 324 & 326 East 84th ST,
Paley & Taube ,Paley & Taube | 326 East 84th ST,
Paley & Taube ,Paley & Taube | 422 East 81st ST,
Paley & Taube ,Paley & Taube | 512 East 88th ST,
Paley & Taube ,Paley & Taube | 518 East 84th ST,
PARKASH ,PARKASH | 11 West 172nd ST,
PARKASH ,PARKASH | 1630 Grand AVE,
PARKVIEW HEIGHTS ,PARKVIEW HEIGHTS | 1701 Parkview,
PARTRIDGE ,PARTRIDGE | 21-06 33rd ST,
PARTRIDGE ,PARTRIDGE | 27-10 Newtown AVE,
PARTRIDGE ,PARTRIDGE | 31-15 21st AVE,
PARTRIDGE ,PARTRIDGE | 321 61st ST,
RA Cohen ,RA Cohen | 157 Suffolk ST,
RAJ ,RAJ | 102 Albemarle RD,
Ramikiso ,1240 Bedford Ave,
RAVIKOFF ,RAVIKOFF 5 Grove ST,
RONNY OVID ,RONNY OVID | 150 W 92nd ST,
ROYAL OAKS ,ROYAL OAKS | 87-16 Winchester Blvd,
RUDD REALTY ,RUDD REALTY | 75 Central Park West,
SAM BERLIND ,SAM BERLIND | 1710 Avenue H,
Sandberg Management ,Sandberg Management 408 E 73rd ST,
Sandra Greer Realty ,Sandra Greer Realty 446 W 47th ST,
Sassouni ,114 East 97th ST,
Settlement Housing Fund ,Settlement Housing Fund | 301 W 46th ST,
Silverman,161 East 91st Street,
Sokolowski,CLIENT 144 East 36th ST,
Tchorbajain ,112 Emerson PL,
The Wakefield ,The Wakefield | 525 E 80th ST,
TKR PM ,TKR PM | 9411 Shore View RD,
TRION ,TRION | 44-14 Newtown Rd,
Undercliff Holding ,Undercliff Holding | 1590 Undercliff AVE,
Zalmonwitz ,1670 E 174th St,
Zalmonwitz ,Zalmonwitz -- 1690 E 174th Street,
Zalmonwitz,1691 E 174th Street,
